"Disp (mm)" "Load (kN)" "d (raw)" "f (raw)"
1.6291 2.4062 1.6292 2.6549
1.6458 2.4430 1.6458 2.6917
1.6625 2.4803 1.6626 2.7291
1.6792 2.5155 1.6792 2.7643
1.6958 2.5530 1.6958 2.8017
1.7125 2.5905 1.7125 2.8392
1.7292 2.6278 1.7292 2.8765
1.7458 2.6660 1.7459 2.9147
1.7625 2.7040 1.7625 2.9528
1.7791 2.7413 1.7792 2.9901
1.7958 2.7808 1.7959 3.0295
1.8125 2.8173 1.8126 3.0661
1.8292 2.8547 1.8292 3.1034
1.8458 2.8923 1.8459 3.1410
1.8625 2.9291 1.8625 3.1779
1.8791 2.9674 1.8792 3.2161
1.8958 3.0067 1.8958 3.2554
1.9124 3.0455 1.9125 3.2942
1.9292 3.0862 1.9292 3.3349
1.9458 3.1265 1.9459 3.3752
1.9625 3.1666 1.9626 3.4153
1.9792 3.2075 1.9792 3.4562
1.9958 3.2467 1.9959 3.4954
2.0124 3.2869 2.0125 3.5356
2.0291 3.3267 2.0292 3.5754
2.0458 3.3666 2.0458 3.6153
2.0625 3.4075 2.0626 3.6562
2.0792 3.4481 2.0792 3.6968
2.0958 3.4885 2.0958 3.7372
2.1125 3.5299 2.1125 3.7786
2.1292 3.5703 2.1292 3.8191
2.1458 3.6108 2.1458 3.8595
2.1624 3.6523 2.1625 3.9010
2.1791 3.6936 2.1792 3.9423
2.1958 3.7343 2.1959 3.9830
2.2125 3.7775 2.2126 4.0262
2.2292 3.8209 2.2292 4.0696
2.2458 3.8667 2.2459 4.1154
2.2625 3.9110 2.2626 4.1597
2.2791 3.9549 2.2792 4.2037
2.2958 3.9997 2.2958 4.2484
2.3124 4.0430 2.3125 4.2917
2.3292 4.0868 2.3292 4.3355
2.3459 4.1299 2.3459 4.3786
2.3625 4.1730 2.3625 4.4217
2.3792 4.2165 2.3792 4.4653
2.3958 4.2596 2.3959 4.5083
2.4125 4.3038 2.4125 4.5525
2.4291 4.3471 2.4292 4.5959
2.4458 4.3905 2.4459 4.6392
2.4625 4.4343 2.4625 4.6830
2.4792 4.4780 2.4792 4.7267
2.4958 4.5198 2.4958 4.7685
2.5125 4.5614 2.5125 4.8102
2.5292 4.6036 2.5292 4.8523
2.5458 4.6460 2.5458 4.8947
2.5624 4.6887 2.5625 4.9375
2.5792 4.7296 2.5792 4.9783
2.5880 4.7513 2.5880 5.0001
2.5880 4.7514 2.5880 5.0001
2.5723 4.7107 2.5723 4.9594
2.5548 4.6194 2.5549 4.8682
2.5381 4.5293 2.5381 4.7780
2.5214 4.4428 2.5214 4.6916
2.5047 4.3599 2.5048 4.6087
2.4881 4.2811 2.4881 4.5298
2.4714 4.2055 2.4715 4.4542
2.4547 4.1309 2.4548 4.3796
2.4380 4.0581 2.4381 4.3068
2.4214 3.9856 2.4214 4.2343
2.4048 3.9157 2.4048 4.1644
2.3880 3.8467 2.3881 4.0955
2.3714 3.7795 2.3714 4.0283
2.3547 3.7141 2.3548 3.9628
2.3381 3.6507 2.3381 3.8994
2.3214 3.5858 2.3214 3.8345
2.3047 3.5235 2.3048 3.7722
2.2881 3.4645 2.2881 3.7133
2.2714 3.4064 2.2715 3.6551
2.2547 3.3507 2.2548 3.5994
2.2381 3.2948 2.2381 3.5435
2.2214 3.2407 2.2214 3.4894
