   
   
   
"Disp (mm)" "Load (kN)" " d (raw)" "f (raw)"
1.2535 1.6895 1.2535 2.0008
1.2702 1.7304 1.2702 2.0418
1.2868 1.7725 1.2868 2.0838
1.3035 1.8135 1.3035 2.1248
1.3201 1.8549 1.3201 2.1662
1.3368 1.8975 1.3368 2.2088
1.3534 1.9396 1.3534 2.2509
1.3702 1.9828 1.3702 2.2941
1.3868 2.0257 1.3868 2.3370
1.4035 2.0681 1.4035 2.3794
1.4202 2.1126 1.4202 2.4240
1.4368 2.1555 1.4368 2.4668
1.4535 2.1998 1.4535 2.5111
1.4701 2.2438 1.4701 2.5551
1.4868 2.2872 1.4868 2.5985
1.5035 2.3313 1.5035 2.6426
1.5202 2.3758 1.5202 2.6872
1.5368 2.4195 1.5368 2.7309
1.5535 2.4652 1.5535 2.7765
1.5702 2.5103 1.5702 2.8216
1.5868 2.5564 1.5868 2.8678
1.6035 2.6024 1.6035 2.9137
